met_s,mission_phase,mode_index,mode_holding,mode_flying,gate_id,gate_phase,crew_action,alt_m,speed_mps,srf_speed_mps,vspeed_mps,q_pa,mach,downrange_m,mass_kg,accel_g,thrust_n,att_err_deg,rate_cmd_rads,throttle,torque_cmd,rcs_on,trans_x,trans_y,trans_z,att_point_deg,att_rate_cmd,att_rate_meas,act_pitch,act_yaw,act_roll,ctrl_tq_pitch,ctrl_tq_yaw,rate_pitch_dps,rate_roll_dps,rate_yaw_dps,ctrl_tq_roll,moi_pitch,moi_roll,moi_yaw,rcs_thrust_n,ap_km,pe_km,inc_deg,raan_deg,ullage_stab,clamp_frac,clamp_held,upfg_tgo_s,upfg_vgo_mps,pitch_deg,azimuth_deg,ascent_phase,boost_phase,boost_aoa_deg,engine_mode,ignite_alt_m,descent_speed_mps,rv_phase,lvlh_rx,lvlh_ry,lvlh_rz,rv_range_m,rv_burn_dv,dock_phase,dock_range_m,close_speed_mps,dock_hold,dep_phase,deorbit_phase,entry_phase,bank_deg,com_descent_mode,chute_phase,drogue,main,dv_planned_mps,dv_delivered_mps,dv_residual_mps,fdir_fault,fdir_recovery,fdir_abort,abort_mode,cal_thrust_n,cal_beta,cal_invI,cal_ld,steer_sign,ker_avail,ker_remain_dv,ker_final_dv,ker_cur_twr,ker_cur_thrust_n,steer_loss_mps,grav_loss_mps,drag_loss_mps,cal_kaero,cal_kaero_p,qalpha_cap_deg,aero_ang_accel,aoa_signed_deg,rcsbal_torque_naive,rcsbal_torque_resid,rcsbal_force_frac,cc_dsigma_deg,cc_slope_m_per_rad,warp_rate,eng_ignited,eng_flameout,mmh_frac,nto_frac,skin_temp_frac,rcs_geo_pitch,rcs_geo_yaw,rcs_geo_roll,app_pitch,app_yaw,app_roll,app_tx,app_ty,app_tz,rcs_pulse_att,rcs_pulse_trans,acc_int_s,acc_att_s,acc_trans_s,acc_both_s,acc_none_s,acc_att_imp,acc_trans_imp,acc_both_imp,acc_req_att,acc_app_att,acc_req_trans,acc_app_trans
73.059998,-,0,0,0,,,,107286.496905,1919.487993,1618.966097,336.817957,0.225896,5.243375,,84621.319473,0.000125,0,91.559207,0,0,,1,0,0,0,88.440798,0,-0.019836,-1,1,-1,0,0,-1.136525,-8.376151,5.449047,0,14965.444336,150.583572,14965.420898,0,113.615528,-6177.405061,46.389795,354.694787,1,,0,,,,,,EntryBurn,0,0,2421.420121,-336.817958,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.593343,,,,,,,,,,,,,,,,,,,,,,,
73.319998,-,0,0,0,,,,107373.830362,1919.055944,1618.452532,334.492198,0.222446,5.235042,,84621.319473,0.000142,0,90.228391,0,0,,1,0,0,0,89.771614,0,-0.013203,-1,1,-1,0,0,-0.756451,-7.546483,4.425735,0,14964.298828,150.521057,14964.34668,0,113.61551,-6177.405115,46.389794,354.694786,1,,0,,,,,,EntryBurn,0,0,2414.84485,-334.492199,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.59327,,,,,,,,,,,,,,,,,,,,,,,
73.579998,-,0,0,0,,,,107460.569233,1918.626922,1617.942505,332.166392,0.219075,5.226717,,84621.319473,0.000095,0,88.754556,0,0,,1,0,0,0,91.245451,0,-0.031592,-1,1,-1,0,0,-1.81011,-8.389902,6.004095,0,14967.566406,150.725784,14967.425781,0,113.615495,-6177.405138,46.389798,354.694791,1,,0,,,,,,EntryBurn,0,0,2408.227468,-332.166391,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.593197,,,,,,,,,,,,,,,,,,,,,,,
73.839998,-,0,0,0,,,,107546.685055,1918.200821,1617.435858,329.840593,0.21578,5.218404,,84621.319473,0.000066,0,87.546146,0,0,,1,0,0,0,92.45386,0,-0.021968,-1,1,-1,0,0,-1.258676,-8.954371,5.558713,0,14965.06543,150.537781,14965.0625,0,113.615469,-6177.405157,46.389799,354.694792,1,,0,,,,,,EntryBurn,0,0,2401.566567,-329.840594,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.593125,,,,,,,,,,,,,,,,,,,,,,,
74.099998,-,0,0,0,,,,107632.172071,1917.777598,1616.932607,327.514786,0.21256,5.210102,,84621.319473,0.000103,0,86.136447,0,0,,1,0,0,0,93.863553,0,0.000515,1,1,-1,0,0,0.029526,-9.008252,4.568098,0,14967.105469,150.562195,14967.166016,0,113.615438,-6177.405182,46.389805,354.6948,1,,0,,,,,,EntryBurn,0,0,2394.862742,-327.514785,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.593052,,,,,,,,,,,,,,,,,,,,,,,
74.359998,-,0,0,0,,,,107717.08405,1917.35743,1616.432909,325.188979,0.209413,5.20181,,84621.319473,0.000141,0,84.871823,0,0,,1,0,0,0,95.128186,0,-0.009482,-1,1,-1,0,0,-0.543292,-7.361401,5.131266,0,14966.348633,150.571976,14966.412109,0,113.61541,-6177.405173,46.389813,354.69481,1,,0,,,,,,EntryBurn,0,0,2388.11442,-325.188979,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.59298,,,,,,,,,,,,,,,,,,,,,,,
74.619998,-,0,0,0,,,,107801.385193,1916.940275,1615.936729,322.863401,0.206336,5.193532,,84621.319473,0.000175,0,83.42907,0,0,,1,0,0,0,96.570933,0,0.009398,1,1,-1,0,0,0.538458,-8.458116,5.154406,0,14965.987305,150.553787,14965.952148,0,113.615392,-6177.405149,46.389822,354.694823,1,,0,,,,,,EntryBurn,0,0,2381.322291,-322.8634,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.592908,,,,,,,,,,,,,,,,,,,,,,,
74.879998,-,0,0,0,,,,107885.063129,1916.52572,1615.443612,320.538115,0.203328,5.185266,,84621.319473,0.000178,0,82.077859,0,0,,1,0,0,0,97.922146,0,-0.013078,-1,1,-1,0,0,-0.749299,-8.854429,5.231886,0,14965.306641,150.62088,14965.321289,0,113.615383,-6177.4052,46.389827,354.694828,1,,0,,,,,,EntryBurn,0,0,2374.485816,-320.538116,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.592835,,,,,,,,,,,,,,,,,,,,,,,
75.139998,-,0,0,0,,,,107968.149782,1916.114237,1614.954073,318.212899,0.200388,5.177017,,84621.319473,0.000204,0,80.765896,0,0,,1,0,0,0,99.234111,0,-0.015401,-1,1,-1,0,0,-0.88242,-7.651399,5.405051,0,14965.639648,150.547577,14965.709961,0,113.615364,-6177.40522,46.389833,354.694837,1,,0,,,,,,EntryBurn,0,0,2367.60354,-318.212899,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.592763,,,,,,,,,,,,,,,,,,,,,,,
75.399998,-,0,0,0,,,,108050.618466,1915.705663,1614.467928,315.887592,0.197513,5.168782,,84621.319473,0.000184,0,79.439744,0,0,,1,0,0,0,100.560255,0,-0.029394,-1,1,-1,0,0,-1.684166,-9.531145,5.874944,0,14964.395508,150.60849,14964.316406,0,113.615348,-6177.405236,46.38984,354.694846,1,,0,,,,,,EntryBurn,0,0,2360.674991,-315.887592,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.592691,,,,,,,,,,,,,,,,,,,,,,,
