met_s,mission_phase,mode_index,mode_holding,mode_flying,gate_id,gate_phase,crew_action,alt_m,speed_mps,srf_speed_mps,vspeed_mps,q_pa,mach,downrange_m,mass_kg,accel_g,thrust_n,att_err_deg,rate_cmd_rads,throttle,torque_cmd,rcs_on,trans_x,trans_y,trans_z,att_point_deg,att_rate_cmd,att_rate_meas,act_pitch,act_yaw,act_roll,ctrl_tq_pitch,ctrl_tq_yaw,rate_pitch_dps,rate_roll_dps,rate_yaw_dps,ctrl_tq_roll,moi_pitch,moi_roll,moi_yaw,rcs_thrust_n,ap_km,pe_km,inc_deg,raan_deg,ullage_stab,clamp_frac,clamp_held,upfg_tgo_s,upfg_vgo_mps,pitch_deg,azimuth_deg,ascent_phase,boost_phase,boost_aoa_deg,engine_mode,ignite_alt_m,descent_speed_mps,rv_phase,lvlh_rx,lvlh_ry,lvlh_rz,rv_range_m,rv_burn_dv,dock_phase,dock_range_m,close_speed_mps,dock_hold,dep_phase,deorbit_phase,entry_phase,bank_deg,com_descent_mode,chute_phase,drogue,main,dv_planned_mps,dv_delivered_mps,dv_residual_mps,fdir_fault,fdir_recovery,fdir_abort,abort_mode,cal_thrust_n,cal_beta,cal_invI,cal_ld,steer_sign,ker_avail,ker_remain_dv,ker_final_dv,ker_cur_twr,ker_cur_thrust_n,steer_loss_mps,grav_loss_mps,drag_loss_mps,cal_kaero,cal_kaero_p,qalpha_cap_deg,aero_ang_accel,aoa_signed_deg,rcsbal_torque_naive,rcsbal_torque_resid,rcsbal_force_frac,cc_dsigma_deg,cc_slope_m_per_rad,warp_rate,eng_ignited,eng_flameout,mmh_frac,nto_frac,skin_temp_frac,rcs_geo_pitch,rcs_geo_yaw,rcs_geo_roll,app_pitch,app_yaw,app_roll,app_tx,app_ty,app_tz,rcs_pulse_att,rcs_pulse_trans
83978.690242,PHASING,8,0,1,None,Holding,0,366005.90667,7694.949992,7391.266995,-2.182568,0,0,8653803.701345,9595.389344,0.01527,0,0.999325,0.001261,0,,1,0,0,-1,0.02658,0.001261,-0.006109,-1,-0.131111,-0.071647,2.332806,1.845649,-0.350044,-0.053865,-0.079071,1.817878,40.804947,17.384186,41.152122,26116.121829,376.944962,365.671595,51.644514,359.994804,,,,,,,,,,,,,,Phasing,0,-127839.431207,0,127839.431207,1,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,345.939148,345.939148,0,0,,,,,,,,,8375.315552,0.939229,0.668049,,,1,0,0,0.674027,0.674028,0.589505,13.483079,10.238793,10.69035,-1,-1,0,0,0,-1,1,1
83978.950242,PHASING,8,0,1,None,Holding,0,366005.342014,7694.988157,7391.306979,-2.176673,0,0,8655614.186901,9593.983628,0.015614,0,0.995033,0.00282,0,,1,0,0,-1,0.069801,0.00282,-0.006979,-1,-0.320121,-0.139104,2.910157,2.19481,-0.399878,-0.118479,-0.217954,2.060518,40.801479,17.382196,41.148544,29464.906335,377.071611,365.676652,51.644498,359.994861,,,,,,,,,,,,,,Phasing,0,-127818.392133,0,127818.392133,1,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,345.635254,345.635254,0,0,,,,,,,,,8375.962036,0.938963,0.668044,,,1,0,0,0.672968,0.672969,0.5895,13.483188,10.238908,10.690352,-1,0,0,0,0,-1,1,1
83979.210242,PHASING,8,0,1,None,Holding,0,366004.774341,7695.035758,7391.3563,-2.183054,0,0,8657424.688658,9592.631795,0.015066,0,1.004287,0.001824,0,,1,0,0,-1,0.028962,0.001824,0.010116,0.861264,0.174099,-0.008447,3.13429,2.080235,0.57958,-0.008185,0.007155,2.324182,40.79808,17.380236,41.145035,24783.829212,377.234139,365.678954,51.644468,359.994968,,,,,,,,,,,,,,Phasing,0,-127797.344114,0,127797.344114,1,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,344.971313,344.971313,0,0,,,,,,,,,8376.58197,0.938707,0.66804,,,1,0,0,0.671949,0.67195,0.589496,13.483292,10.239017,10.690351,0,1,0,0,0,-1,1,1
83979.470242,PHASING,8,0,1,None,Holding,0,366004.205192,7695.077801,7391.40035,-2.184504,0,0,8659235.205663,9591.249444,0.014932,0,0.98755,0.001132,0,,1,0,0,-1,0.039802,0.001132,-0.000509,-0.176462,-0.391586,0.333427,3.026419,2.065902,-0.029161,0.297104,-0.105687,2.15722,40.79464,17.378258,41.141487,24783.821583,377.376365,365.682046,51.644478,359.994932,,,,,,,,,,,,,,Phasing,0,-127776.288397,0,127776.288397,1,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,344.330566,344.330566,0,0,,,,,,,,,8377.21814,0.938446,0.668035,,,1,0,0,0.670908,0.670909,0.589492,13.483396,10.239128,10.690349,-1,-1,1,0,0,-1,1,1
83979.730242,PHASING,8,0,1,None,Holding,0,366003.640081,7695.125715,7391.449986,-2.168965,0,0,8661045.740014,9589.891411,0.019402,0,1.064522,-0.001358,0,,1,0,0,-1,0.057895,-0.001358,0.002969,0.558036,-0.212274,0.969791,2.52415,2.010109,0.1701,0.733459,-0.119422,1.83057,40.791267,17.376316,41.138004,24783.819675,377.53396,365.690401,51.644447,359.995039,,,,,,,,,,,,,,Phasing,0,-127755.220314,0,127755.220314,1,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,344.032013,344.032013,0,0,,,,,,,,,8377.844605,0.938188,0.668031,,,1,0,0,0.669885,0.669886,0.589488,13.483501,10.239241,10.690351,1,0,1,0,0,-1,1,1
83979.990242,PHASING,8,0,1,None,Holding,0,366003.077693,7695.173478,7391.499867,-2.169352,0,0,8662856.291898,9588.522889,0.017515,0,1.042647,0.00094,0,,1,0,0,-1,0.035864,0.00094,-0.000565,-0.190212,0.599885,0.932804,2.575409,2.172712,-0.032365,0.745175,0.115419,1.933332,40.787861,17.374359,41.134491,24783.821821,377.695715,365.694072,51.644473,359.994949,,,,,,,,,,,,,,Phasing,0,-127734.141663,0,127734.141663,1,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,343.366119,343.366119,0,0,,,,,,,,,8378.473816,0.93793,0.668026,,,1,0,0,0.668854,0.668855,0.589483,13.483606,10.23935,10.69035,0,0,1,0,0,-1,1,1
83980.250242,PHASING,8,0,1,None,Holding,0,366002.51147,7695.212904,7391.541427,-2.173031,0,0,8664666.860344,9587.107159,0.017743,0,1.061384,-0.000712,0,,1,0,0,-1,0.039393,-0.000712,-0.001244,-0.07887,-0.100312,-0.985625,2.193147,1.724969,-0.071262,-0.761554,-0.118482,1.869327,40.784374,17.372364,41.130894,29416.365027,377.829951,365.695988,51.644501,359.994851,,,,,,,,,,,,,,Phasing,0,-127713.054078,0,127713.054078,1,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,342.729828,342.729828,0,0,,,,,,,,,8379.125244,0.937662,0.668021,,,1,0,0,0.667787,0.667788,0.589479,13.483712,10.239467,10.690351,0,-1,1,0,0,-1,1,1
83980.510242,PHASING,8,0,1,None,Holding,0,366001.944583,7695.251544,7391.582443,-2.182985,0,0,8666477.445305,9585.67331,0.018893,0,1.054158,-0.001579,0,,1,0,0,-1,0.05514,-0.001579,-0.001813,-0.033678,-1,-0.297409,2.26961,1.860811,-0.103902,-0.216584,-0.439903,1.761115,40.780769,17.370283,41.127174,24783.824921,377.963266,365.696067,51.644563,359.994635,,,,,,,,,,,,,,Phasing,0,-127691.957746,0,127691.957746,1,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,342.396118,342.396118,0,0,,,,,,,,,8379.783691,0.937392,0.668017,,,1,0,0,0.666707,0.666708,0.589475,13.483822,10.239583,10.69035,0,-1,1,0,0,-1,1,1
83980.770242,PHASING,8,0,1,None,Holding,0,366001.378034,7695.283265,7391.616043,-2.168922,0,0,8668288.043779,9584.199883,0.013363,0,1.049879,-0.002075,0,,1,0,0,-1,0.065629,-0.002075,-0.003871,-0.212509,0.397723,0.67133,2.750196,1.968463,-0.22181,0.5747,0.140525,2.071058,40.777016,17.368099,41.123299,12256.714344,378.066416,365.702022,51.644554,359.994667,,,,,,,,,,,,,,Phasing,0,-127670.855075,0,127670.855075,1,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,341.654022,341.654022,0,0,,,,,,,,,8380.461914,0.937112,0.668012,,,1,0,0,0.665597,0.665598,0.589471,13.483933,10.239701,10.69035,0,0,1,0,0,-1,1,1
83981.030242,PHASING,8,0,1,None,Holding,0,366000.813255,7695.325835,7391.660601,-2.167163,0,0,8670098.65762,9582.84948,0.0169,0,1.064725,-0.002637,0,,1,0,0,-1,0.07061,-0.002637,-0.000887,0.200106,0.158563,0.663515,2.846244,1.977644,-0.050808,0.601792,0.03998,2.194106,40.773762,17.366264,41.119942,27836.514503,378.210171,365.705472,51.64456,359.994644,,,,,,,,,,,,,,Phasing,0,-127649.743266,0,127649.743266,1,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,341.336365,341.336365,0,0,,,,,,,,,8381.085083,0.936858,0.668008,,,1,0,0,0.664579,0.664581,0.589466,13.484042,10.239814,10.690351,1,-1,1,0,0,-1,1,1
