met_s,mission_phase,mode_index,mode_holding,mode_flying,gate_id,gate_phase,crew_action,alt_m,speed_mps,srf_speed_mps,vspeed_mps,q_pa,mach,downrange_m,mass_kg,accel_g,thrust_n,att_err_deg,rate_cmd_rads,throttle,torque_cmd,rcs_on,trans_x,trans_y,trans_z,att_point_deg,att_rate_cmd,att_rate_meas,act_pitch,act_yaw,act_roll,ctrl_tq_pitch,ctrl_tq_yaw,rate_pitch_dps,rate_roll_dps,rate_yaw_dps,ctrl_tq_roll,moi_pitch,moi_roll,moi_yaw,rcs_thrust_n,ap_km,pe_km,inc_deg,raan_deg,ullage_stab,clamp_frac,clamp_held,upfg_tgo_s,upfg_vgo_mps,pitch_deg,azimuth_deg,ascent_phase,boost_phase,boost_aoa_deg,engine_mode,ignite_alt_m,descent_speed_mps,rv_phase,lvlh_rx,lvlh_ry,lvlh_rz,rv_range_m,rv_burn_dv,dock_phase,dock_range_m,close_speed_mps,dock_hold,dep_phase,deorbit_phase,entry_phase,bank_deg,com_descent_mode,chute_phase,drogue,main,dv_planned_mps,dv_delivered_mps,dv_residual_mps,fdir_fault,fdir_recovery,fdir_abort,abort_mode,cal_thrust_n,cal_beta,cal_invI,cal_ld,steer_sign,ker_avail,ker_remain_dv,ker_final_dv,ker_cur_twr,ker_cur_thrust_n,steer_loss_mps,grav_loss_mps,drag_loss_mps,cal_kaero,cal_kaero_p,qalpha_cap_deg,aero_ang_accel,aoa_signed_deg,rcsbal_torque_naive,rcsbal_torque_resid,rcsbal_force_frac,cc_dsigma_deg,cc_slope_m_per_rad,warp_rate,eng_ignited,eng_flameout,mmh_frac,nto_frac,skin_temp_frac,rcs_geo_pitch,rcs_geo_yaw,rcs_geo_roll,app_pitch,app_yaw,app_roll,app_tx,app_ty,app_tz,rcs_pulse_att,rcs_pulse_trans,acc_int_s,acc_att_s,acc_trans_s,acc_both_s,acc_none_s,acc_att_imp,acc_trans_imp,acc_both_imp,acc_req_att,acc_app_att,acc_req_trans,acc_app_trans
85234.617579,PHASING,8,0,1,None,Holding,0,364133.58397,7690.70721,7395.06652,-10.165103,0,0,1281807.887686,8700.73507,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,0,-663870.764451,0,663870.764451,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,2001.532349,0,0,0,0,0.501094,,,,,,,,,,,,,,,,,,,,,,,
85302.668355,PHASING,8,0,1,None,Holding,0,363722.584482,7691.176786,7395.291649,-10.364615,0,0,1561843.991007,8700.73507,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,0,-663870.764451,0,663870.764451,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,2201.70752,0,0,0,0,0.491259,,,,,,,,,,,,,,,,,,,,,,,
85302.668355,PHASING,8,0,1,None,Holding,0,363261.78099,7691.703275,7395.511359,-10.558578,0,0,1869915.258744,8700.73507,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,0,-663870.764451,0,663870.764451,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,2401.882813,0,0,0,0,0.482038,,,,,,,,,,,,,,,,,,,,,,,
85386.733153,PHASING,8,0,1,None,Holding,0,362750.130712,7692.288001,7395.719878,-10.739385,0,0,2206027.814078,8700.73507,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,0,-663870.764451,0,663870.764451,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,2600.837646,0,0,0,0,0.47341,,,,,,,,,,,,,,,,,,,,,,,
85434.770809,PHASING,8,0,1,None,Holding,0,362187.209944,7692.931385,7395.912365,-10.89949,0,0,2570016.678039,8700.73507,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,0,-663870.764451,0,663870.764451,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,2801.012939,0,0,0,0,0.460364,,,,,,,,,,,,,,,,,,,,,,,
85486.787562,PHASING,8,0,1,None,Holding,0,361572.712731,7693.633637,7396.085828,-11.029209,0,0,2962058.568961,8700.73507,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,0,-663870.764451,0,663870.764451,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,3001.188232,0,0,0,0,0.451258,,,,,,,,,,,,,,,,,,,,,,,
85486.787562,PHASING,8,0,1,None,Holding,0,360907.852589,7694.393647,7396.239542,-11.116819,0,0,3382157.92374,8700.73507,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,0,-663870.764451,0,663870.764451,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,3201.363525,0,0,0,0,0.443443,,,,,,,,,,,,,,,,,,,,,,,
85602.831585,PHASING,8,0,1,None,Holding,0,360194.580218,7695.209042,7396.375941,-11.153257,0,0,3830315.867509,8700.73507,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,0,-663870.764451,0,663870.764451,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,3401.538818,0,0,0,0,0.432991,,,,,,,,,,,,,,,,,,,,,,,
85602.831585,PHASING,8,0,1,None,Holding,0,359436.214699,7696.075951,7396.501371,-11.127307,0,0,4306532.143166,8700.73507,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,0,-663870.764451,0,663870.764451,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,3601.714111,0,0,0,0,0.427786,,,,,,,,,,,,,,,,,,,,,,,
85734.889632,PHASING,8,0,1,None,Holding,0,358638.017248,7696.988752,7396.626739,-11.024849,0,0,4810802.84203,8700.73507,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,0,-663870.764451,0,663870.764451,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,3800.668945,0,0,0,0,0.420179,,,,,,,,,,,,,,,,,,,,,,,
