met_s,mission_phase,mode_index,mode_holding,mode_flying,gate_id,gate_phase,crew_action,alt_m,speed_mps,srf_speed_mps,vspeed_mps,q_pa,mach,downrange_m,mass_kg,accel_g,thrust_n,att_err_deg,rate_cmd_rads,throttle,torque_cmd,rcs_on,trans_x,trans_y,trans_z,att_point_deg,att_rate_cmd,att_rate_meas,act_pitch,act_yaw,act_roll,ctrl_tq_pitch,ctrl_tq_yaw,rate_pitch_dps,rate_roll_dps,rate_yaw_dps,ctrl_tq_roll,moi_pitch,moi_roll,moi_yaw,rcs_thrust_n,ap_km,pe_km,inc_deg,raan_deg,ullage_stab,clamp_frac,clamp_held,upfg_tgo_s,upfg_vgo_mps,pitch_deg,azimuth_deg,ascent_phase,boost_phase,boost_aoa_deg,engine_mode,ignite_alt_m,descent_speed_mps,rv_phase,lvlh_rx,lvlh_ry,lvlh_rz,rv_range_m,rv_burn_dv,dock_phase,dock_range_m,close_speed_mps,dock_hold,dep_phase,deorbit_phase,entry_phase,bank_deg,com_descent_mode,chute_phase,drogue,main,dv_planned_mps,dv_delivered_mps,dv_residual_mps,fdir_fault,fdir_recovery,fdir_abort,abort_mode,cal_thrust_n,cal_beta,cal_invI,cal_ld,steer_sign,ker_avail,ker_remain_dv,ker_final_dv,ker_cur_twr,ker_cur_thrust_n,steer_loss_mps,grav_loss_mps,drag_loss_mps,cal_kaero,cal_kaero_p,qalpha_cap_deg,aero_ang_accel,aoa_signed_deg,rcsbal_torque_naive,rcsbal_torque_resid,rcsbal_force_frac,cc_dsigma_deg,cc_slope_m_per_rad,warp_rate,eng_ignited,eng_flameout,mmh_frac,nto_frac,skin_temp_frac,rcs_geo_pitch,rcs_geo_yaw,rcs_geo_roll
35.619999,-,0,0,0,,,,88244.902855,2012.474575,1727.639473,672.983664,7.071582,6.224248,,84281.88771,0.000757,0,154.721774,7.812599,0,,1,0,0,0,25.278213,7.812599,0.25164,-1,1,0.027854,423630.155257,474354.619707,14.417894,46.772629,-18.605404,35077.533571,14918.958008,149.983215,14918.960938,0,113.527974,-6177.121213,46.330479,354.622485,1,,0,,,,,,EntryBurn,0,0,3072.538911,-672.983664,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.584374,,,
35.879999,-,0,0,0,,,,88419.118246,2011.643332,1726.67149,670.644406,6.856406,6.221884,,84281.88771,0.000769,0,151.776381,7.594776,0,,1,0,0,0,28.223623,7.594776,0.28218,-1,1,0.027276,423622.914086,474239.131697,16.167742,45.797329,-16.907135,35094.983298,14918.682617,150.076111,14918.704102,0,113.527936,-6177.121624,46.330468,354.622471,1,,0,,,,,,EntryBurn,0,0,3069.147478,-670.644406,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.584331,,,
36.139999,-,0,0,0,,,,88593.117074,2010.814677,1725.706371,668.30541,6.648406,6.219454,,84281.88771,0.000775,0,148.398985,7.359839,0,,1,0,0,0,31.601026,7.359839,0.311748,-1,1,0.027715,423504.097568,474291.765226,17.861864,46.457775,-15.73296,35001.584276,14918.426758,149.921631,14918.425781,0,113.527909,-6177.122047,46.330456,354.622456,1,,0,,,,,,EntryBurn,0,0,3065.744772,-668.30541,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.584305,,,
36.399999,-,0,0,0,,,,88766.900829,2009.988176,1724.743673,665.966435,6.447324,6.216959,,84281.88771,0.000918,0,144.965976,7.129069,0,,1,0,0,0,35.034014,7.129069,0.333467,-1,1,0.027432,423634.052382,474305.187924,19.106256,46.086651,-14.153109,35091.88828,14922.602539,149.974075,14922.581055,0,113.527871,-6177.12256,46.330441,354.622437,1,,0,,,,,,EntryBurn,0,0,3062.330581,-665.966436,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.584282,,,
36.659999,-,0,0,0,,,,88940.466088,2009.164004,1723.783462,663.6273,6.252967,6.214441,,84281.88771,0.00108,0,141.639002,6.920252,0,,1,0,0,0,38.360983,6.920252,0.347695,-1,1,0.027233,423662.51582,474316.355216,19.921484,45.764,-12.228181,35117.967656,14920.754883,150.042313,14920.730469,0,113.527811,-6177.123112,46.330409,354.622396,1,,0,,,,,,EntryBurn,0,0,3058.904062,-663.627299,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.584261,,,
36.919999,-,0,0,0,,,,89113.784392,2008.341877,1722.825582,661.28807,6.065112,6.211927,,84281.88771,0.00128,0,138.26956,6.740157,0,,1,0,0,0,41.730454,6.740157,0.366514,-1,1,0.027375,423642.325593,474312.185941,20.999704,45.966999,-10.218203,35103.994054,14919.22168,150.10199,14919.200195,0,113.527734,-6177.123772,46.330377,354.622356,1,,0,,,,,,EntryBurn,0,0,3055.465228,-661.28807,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.584241,,,
37.179999,-,0,0,0,,,,89286.837394,2007.522723,1721.870957,658.94908,5.88348,6.209414,,84281.88771,0.001223,0,134.945663,6.600197,0,,1,0,0,0,45.054343,6.600197,0.389318,-1,1,0.027354,423424.505072,474246.628554,22.306286,45.774448,-8.816431,34955.536823,14920.326172,149.978348,14920.365234,0,113.527666,-6177.124357,46.330346,354.622316,1,,0,,,,,,EntryBurn,0,0,3052.014723,-658.949081,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.584216,,,
37.439999,-,0,0,0,,,,89459.579082,2006.70603,1720.919068,656.610195,5.707797,6.206899,,84281.88771,0.001265,0,131.876538,6.51859,0,,1,0,0,0,48.123458,6.51859,0.391062,-1,1,0.027089,423604.401592,474300.15036,22.406191,45.469231,-6.679862,35065.425866,14923.020508,149.992233,14923.041992,0,113.527595,-6177.124973,46.330313,354.622273,1,,0,,,,,,EntryBurn,0,0,3048.552581,-656.610194,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.584192,,,
37.699999,-,0,0,0,,,,89631.962362,2005.890929,1719.96894,654.270725,5.537781,6.204376,,84281.88771,0.001559,0,129.045179,6.49845,0,,1,0,0,0,50.95483,6.49845,0.416805,-1,1,0.027293,423754.669604,474285.312868,23.881153,45.902271,-4.978872,35148.497634,14919.678711,150.050247,14919.682617,0,113.527471,-6177.125765,46.330264,354.622211,1,,0,,,,,,EntryBurn,0,0,3045.077164,-654.270724,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.584171,,,
37.939999,-,0,0,0,,,,89803.94726,2005.078152,1719.021455,651.931029,5.37318,6.201842,,84281.88771,0.001784,0,126.449753,6.539653,0,,1,0,0,0,53.550256,6.539653,0.410915,-1,1,0.027246,423690.403578,474318.100225,23.543697,45.830135,-3.049177,35152.575914,14921.864258,150.046555,14921.832031,0,113.527327,-6177.126594,46.330222,354.622241,1,,0,,,,,,EntryBurn,0,0,3041.588899,-651.931028,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.584149,,,
